onset	duration	sample	value	trial_type	tot_img_number	img_category	category_name	block	sequence	img_in_sequence	soa
14.992	0.09996851051255362	14992	12	image	12533	1254	01254_shelf	1	1	1	n/a
15.192	0.09997792542344541	15192	40	image	407	41	00041_asparagus	1	1	2	0.19994277457590215
15.392	0.09996638508528122	15392	13	image	13929	1393	01393_straightjacket	1	1	3	0.1999369701698015
15.591	0.09996311491704546	15591	16	image	16098	1610	01610_whale	1	1	4	0.19993013593557407
15.794	0.09997828508494422	15794	12	image	12725	1273	01273_shower_curtain	1	1	5	0.1999398491498141
15.992	0.09996379999938654	15992	40	image	4024	403	00403_curling_iron	1	1	6	0.19993721491482574
16.191	0.09995931491721421	16191	87	image	8735	874	00874_mattress	1	1	7	0.19992622101926827
16.391	0.09996694474830292	16391	13	image	13467	1347	01347_splinter	1	1	8	0.1999386789793789
16.591	0.09996289999980945	16591	15	image	15235	1524	01524_tricycle	1	1	9	0.1999258806827129
16.791	0.09996828508519684	16791	14	image	14471	1448	01448_target	1	1	10	0.1999401640641736
16.991	0.09996701491400017	16991	13	image	13473	1348	01348_sponge	1	1	11	0.1999313061060093
17.191	0.09996341491569183	17191	55	image	5516	552	00552_foot	1	1	12	0.19993957897895598
17.391	0.09997581491188612	17391	16	image	16451	1646	01646_yak	1	1	13	0.19991463593760272
17.591	0.0999572298314888	17591	14	image	14970	1497	01497_torch	1	1	14	0.19996394914778648
17.791	0.09997454474796541	17791	13	image	13268	1327	01327_sombrero	1	1	15	0.1999166210189287
17.991	0.09996951491484651	17991	98	image	9880	988	00988_paperclip	1	1	16	0.19994999389746226
18.19	0.09997422983360593	18190	14	image	14295	1430	01430_syrup	1	1	17	0.1999106359326106
18.391	0.09995788508604164	18391	66	image	668	67	00067_barbed_wire	1	1	18	0.19995457898039604
18.59	0.09996901491467725	18590	35	image	3558	356	00356_copier	1	1	19	0.19992079119037953
18.791	0.09998057016855455	18791	15	image	15930	1593	01593_water_bottle	1	1	20	0.19994119389593834
21.056	0.09997258508519735	21056	35	image	3501	351	00351_cooker	1	2	1	0.0
21.257	0.09997317017041496	21257	15	image	15999	1600	01600_waterwheel	1	2	2	0.19994510440301383
21.456	0.09998331491806312	21456	95	image	9509	951	00951_odometer	1	2	3	0.19992232101867558
21.656	0.09995981491738348	21656	12	image	12631	1264	01264_shoelace	1	2	4	0.19996036406519124
21.856	0.09996871491603088	21856	14	image	14090	1409	01409_sunflower	1	2	5	0.19991913593548816
22.056	0.09996801491433871	22056	13	image	13880	1388	01388_stomach	1	2	6	0.19993997898200178
22.256	0.09996345965919318	22256	16	image	16383	1639	01639_wrapping_paper	1	2	7	0.19992632102002972
22.456	0.09997142983047524	22456	76	image	7682	769	00769_keyhole	1	2	8	0.1999466789784492
22.656	0.09997512983318302	22656	14	image	14389	1439	01439_tag	1	2	9	0.19992042101875995
22.856	0.09996217017032905	22856	11	image	11769	1177	01177_rollerskate	1	2	10	0.19994192372541875
23.056	0.09995437627731008	23056	30	image	3010	301	00301_chute	1	2	11	0.19993887016971712
23.256	0.09996816576676792	23256	12	image	12242	1225	01225_scorpion	1	2	12	0.19992568508678232
23.456	0.0999746850829979	23456	11	image	1169	117	00117_birdcage	1	2	13	0.19993579999936628
23.655	0.09997032982937526	23655	14	image	14973	1498	01498_torpedo	1	2	14	0.19992700610600878
23.856	0.09997680000014952	23856	12	image	12189	1219	01219_scarf	1	2	15	0.19994059389500762
24.055	0.09997825966274831	24055	14	image	14475	1448	01448_target	1	2	16	0.1999242061028781
24.256	0.09997092983030598	24256	14	image	14678	1468	01468_thermostat	1	2	17	0.19994527898234082
24.455	0.09997532983106794	24455	15	image	15036	1504	01504_toucan	1	2	18	0.19991852101884433
24.655	0.09997051491518505	24655	16	image	16200	1620	01620_wig	1	2	19	0.19995177898090333
24.855	0.09996374474576442	24855	51	image	5184	519	00519_fire_pit	1	2	20	0.1999290911880962
26.538	0.09996592542665894	26538	67	image	6753	676	00676_headset	1	3	1	0.0
26.738	0.09997108508468955	26738	50	image	5020	502	00502_fence	1	3	2	0.19994298949313816
26.938	0.09997142983047524	26938	84	image	8445	845	00845_machine_gun	1	3	3	0.1999301911891962
27.138	0.09998441931747948	27138	54	image	5439	544	00544_flower	1	3	4	0.199923359661625
27.337	0.09996981491349288	27337	10	image	10574	1058	01058_plant	1	3	5	0.19993597016946296
27.537	0.09998681931756437	27537	10	image	10322	1033	01033_piano	1	3	6	0.19993392983087688
27.737	0.09996104474339518	27737	82	image	8222	823	00823_lingerie	1	3	7	0.19994224033871433
27.938	0.09995994474593317	27938	14	image	14660	1466	01466_thermometer	1	3	8	0.1999460938932316
28.137	0.09998161491603241	28137	66	image	6620	662	00662_harness	1	3	9	0.19991093593489495
28.338	0.09996161491653766	28338	14	image	14970	1497	01497_torch	1	3	10	0.19995947898132727
28.538	0.09996730000057141	28538	10	image	10514	1052	01052_pistachio	1	3	11	0.19993059999978868
28.737	0.09997231491433922	28737	36	image	3676	368	00368_corset	1	3	12	0.1999095359351486
28.937	0.0999601596595312	28937	11	image	11173	1118	01118_quill	1	3	13	0.19996226406510687
29.137	0.0999702149129007	29137	17	image	1759	176	00176_breathalyzer	1	3	14	0.19991393593591056
29.337	0.09996827016948373	29337	15	image	15044	1505	01505_touchpad	1	3	15	0.19994439389483887
29.537	0.09998628508401453	29537	80	image	8063	807	00807_lemon	1	3	16	0.19991492102053599
29.737	0.09996880440667155	29737	37	image	3746	375	00375_cow	1	3	17	0.19995485965773696
29.937	0.09998044474923518	29937	14	image	14171	1418	01418_sweatsuit	1	3	18	0.19991569559351774
30.137	0.09996531491560745	30137	20	image	2043	205	00205_cabbage	1	3	19	0.19995519389703986
30.336	0.0999689298296289	30336	46	image	4674	468	00468_dustpan	1	3	20	0.19992270610600826
32.003	0.09997505525825545	32003	30	image	30	3	00003_accordion	1	4	1	0.0
32.203	0.09996195525673102	32203	13	image	13874	1388	01388_stomach	1	4	2	0.1999558342358796
32.402	0.09997734474382014	32402	14	image	1436	144	00144_bone	1	4	3	0.19991436136115226
32.603	0.09996222983318148	32603	14	image	14560	1456	01456_teddy_bear	1	4	4	0.19995526406273711
32.802	0.09998092983005336	32802	27	image	2722	273	00273_chariot	1	4	5	0.19990555085314554
33.003	0.0999786552565638	33003	84	image	8466	847	00847_magnet	1	4	6	0.19994939389289357
33.202	0.09997994474906591	33202	26	image	2613	262	00262_centrifuge	1	4	7	0.19991910610406194
33.403	0.09996646576473722	33403	17	image	1786	179	00179_broccoli	1	4	8	0.19994567898174864
33.602	0.09996365966071608	33602	69	image	6901	691	00691_hole	1	4	9	0.19992759119122638
33.803	0.09997435966215562	33803	14	image	14930	1493	01493_tooth	1	4	10	0.19994709389357013
34.002	0.09996355965995463	34002	13	image	1344	135	00135_boa	1	4	11	0.1999250061053317
34.202	0.09996721491552307	34202	13	image	13993	1400	01400_string_cheese	1	4	12	0.19995350881072227
34.402	0.09995662983055809	34402	97	image	9718	972	00972_painting	1	4	13	0.1999175359342189
34.602	0.09994997627291013	34602	14	image	14060	1406	01406_suitcase	1	4	14	0.19993789389627636
34.802	0.09996424474593368	34802	14	image	14706	1471	01471_thread	1	4	15	0.19992507627466694
35.002	0.09996822982793674	35002	38	image	3820	382	00382_crayfish	1	4	16	0.19995019389534718
35.202	0.09996682983182836	35202	55	image	5523	553	00553_football	1	4	17	0.19991782101715216
35.402	0.09996189118828624	35402	14	image	14450	1445	01445_tape_measure	1	4	18	0.19994609389686957
35.601	0.09996875965953222	35601	22	image	2243	225	00225_candle	1	4	19	0.19991976135861478
35.802	0.09995995966164628	35802	34	image	3499	350	00350_container	1	4	20	0.19995499389551696
37.434	0.09998477017143159	37434	16	image	16314	1632	01632_wolf	1	5	1	0.0
37.635	0.09995142542175017	37635	14	image	14252	1426	01426_swizzle_stick	1	5	2	0.19997634915125673
37.834	0.09996492982827476	37834	13	image	13161	1317	01317_snowplow	1	5	3	0.1999024911892775
38.035	0.09997001491501578	38035	55	image	5568	557	00557_footrest	1	5	4	0.1999468789799721
38.234	0.09997272982946015	38234	49	image	4917	492	00492_eye	1	5	5	0.19991242101968965
38.434	0.09996571491501527	38434	255	target	n/a	n/a	n/a	1	5	6	0.19995956406273763
38.634	0.09996472983038984	38634	95	image	9599	960	00960_ottoman	1	5	7	0.19991500610558433
38.834	0.0999751894887595	38834	97	image	9748	975	00975_palm_tree	1	5	8	0.1999370894918684
39.034	0.09995511491433717	39034	12	image	12157	1216	01216_scalpel	1	5	9	0.19993912542486214
39.234	0.09997048508375883	39234	31	image	310	31	00031_applesauce	1	5	10	0.19994049389424617
39.434	0.09995691491712932	39434	15	image	1545	155	00155_bow1	1	5	11	0.19992760610330151
39.634	0.0999605850847729	39634	77	image	7710	771	00771_kimono	1	5	12	0.19994297898301738
39.833	0.09997252983157523	39833	16	image	16404	1641	01641_wreck	1	5	13	0.19991032101825112
40.034	0.099968985086889	40034	92	image	9216	922	00922_mullet	1	5	14	0.19995809389365604
40.233	0.09996445965953171	40233	14	image	14793	1480	01480_tinsel	1	5	15	0.19992117627771222
40.434	0.09996189999947092	40434	45	image	4507	451	00451_drain	1	5	16	0.19994950880936813
40.634	0.0999741701707535	40634	14	image	14548	1455	01455_teapot	1	5	17	0.19993181491372525
40.833	0.09998931491645635	40833	15	image	15737	1574	01574_violin	1	5	18	0.19991072102129692
41.034	0.09996504474474932	41034	58	image	5875	588	00588_gel	1	5	19	0.19996164914846304
41.233	0.09996905525622424	41233	14	image	14971	1498	01498_torpedo	1	5	20	0.19992761491448618
43.016	0.09997544034195016	43016	22	image	2294	230	00230_canister	1	6	1	0.0
43.216	0.09997130000192556	43216	54	image	5442	545	00545_flute	1	6	2	0.19995908949204022
43.416	0.09996641491306946	43416	78	image	7849	785	00785_lamb_chop	1	6	3	0.1999207359367574
43.616	0.09997191491856938	43616	14	image	14701	1471	01471_thread	1	6	4	0.19994806406248244
43.815	0.09996761491856887	43815	10	image	10980	1098	01098_printer	1	6	5	0.19991962101994432
44.016	0.09997250000014901	44016	41	image	4199	420	00420_dial	1	6	6	0.19994489389500814
44.215	0.09997162982836016	44215	58	image	5846	585	00585_gazelle	1	6	7	0.1999163061082072
44.416	0.09996711491476162	44416	11	image	11839	1184	01184_roulette_wheel	1	6	8	0.19994949389365502
44.615	0.09997528508392861	44615	13	image	13610	1361	01361_stained_glass	1	6	9	0.19991480610406143
44.816	0.09996749999845633	44816	11	image	11004	1101	01101_propeller	1	6	10	0.19995817898234236
45.015	0.09996962983132107	45015	12	image	12275	1228	01228_scraper	1	6	11	0.19991600610228488
45.216	0.09996400610543787	45216	84	image	8477	848	00848_magnifier	1	6	12	0.1999468938956852
45.415	0.09997389999989537	45415	60	image	6079	608	00608_gong	1	6	13	0.19992003593506524
45.615	0.09998278508282965	45615	15	image	15345	1535	01535_trunk	1	6	14	0.19994219389627688
45.815	0.09996469999896362	45815	72	image	7295	730	00730_inhaler	1	6	15	0.19995067016861867
46.015	0.0999611298320815	46015	11	image	11251	1126	01126_radar	1	6	16	0.1999138061037229
46.215	0.09996381491509965	46215	14	image	14394	1440	01440_tamale	1	6	17	0.19994499389576958
46.415	0.09997389999989537	46415	10	image	10561	1057	01057_place_mat	1	6	18	0.1999366000018199
46.615	0.09997669999938807	46615	40	image	404	41	00041_asparagus	1	6	19	0.1999190359347267
46.815	0.09996561491425382	46815	14	image	14675	1468	01468_thermostat	1	6	20	0.19995037898115697
48.497	0.09998458508198382	48497	30	image	3097	310	00310_clasp	1	7	1	0.0
48.698	0.09996957016846864	48698	10	image	10225	1023	01023_perfume	1	7	2	0.19995121931788162
48.897	0.09996511491408455	48897	36	image	3668	367	00367_corsage	1	7	3	0.19992027627449716
49.098	0.09997011491577723	49098	63	image	6393	640	00640_gutter	1	7	4	0.19995320880843792
49.297	0.09997184474559617	49297	11	image	1122	113	00113_binder	1	7	5	0.1999240911900415
49.497	0.09995815085130744	49497	11	image	11744	1175	01175_roller_coaster	1	7	6	0.19994360881173634
49.697	0.09997334474610398	49697	92	image	9214	922	00922_mullet	1	7	7	0.19991720610414632
49.897	0.09995337627333356	49897	71	image	7100	710	00710_hotdog	1	7	8	0.199950808811991
50.097	0.09998367457228596	50097	14	image	14798	1480	01480_tinsel	1	7	9	0.19990983593379497
50.297	0.0999632000020938	50297	93	image	930	93	00093_beanbag	1	7	10	0.1999582491480396
50.497	0.09997642982852994	50497	68	image	685	69	00069_barcode	1	7	11	0.19991413593743346
50.697	0.09997038508299738	50697	96	image	9613	962	00962_outlet	1	7	12	0.19995547897997312
50.896	0.09997991491763969	50896	79	image	7905	791	00791_laptop	1	7	13	0.19991172101799748
51.097	0.09997497016956913	51097	14	image	14673	1468	01468_thermostat	1	7	14	0.1999522789810726
51.297	0.09997010000006412	51297	66	image	6660	666	00666_hatbox	1	7	15	0.1999275000016496
51.496	0.09998111491586315	51496	16	image	16011	1602	01602_wax_paper	1	7	16	0.1999188210174907
51.697	0.09996301491628401	51697	12	image	12405	1241	01241_seismograph	1	7	17	0.19996226406510687
51.896	0.09997941491383244	51896	23	image	2350	235	00235_canvas	1	7	18	0.1999103359376022
52.097	0.09997119559920975	52097	90	image	9092	910	00910_mouse1	1	7	19	0.1999570640618913
52.296	0.09998681491561001	52296	59	image	5925	593	00593_gingerbread_man	1	7	20	0.1999073210208735
53.946	0.09997185525571695	53946	90	image	9066	907	00907_moth	1	8	1	0.0
54.146	0.09998383423226187	54146	11	image	11535	1154	01154_remote_control	1	8	2	0.1999365850861068
54.346	0.0999579447452561	54346	76	image	768	77	00077_basketball_hoop	1	8	3	0.19995761931932066
54.545	0.09996569999930216	54545	90	image	9084	909	00909_motorcycle	1	8	4	0.19991725085128564
54.746	0.09997182983352104	54746	20	image	2074	208	00208_cactus	1	8	5	0.19993796406197362
54.945	0.09998221491332515	54945	66	image	6662	667	00667_hatchet	1	8	6	0.19992173593709595
55.146	0.0999748447429738	55146	13	image	13559	1356	01356_squash	1	8	7	0.19995326406569802
55.346	0.0999743149150163	55346	11	image	11614	1162	01162_rifle	1	8	8	0.19992959999945015
55.545	0.0999786149150168	55545	77	image	7703	771	00771_kimono	1	8	9	0.19991722101985943
55.745	0.09995767016880563	55745	16	image	16428	1643	01643_wrist	1	8	10	0.19996557898048195
55.945	0.09996835525453207	55945	10	image	10696	1070	01070_pogo_stick	1	8	11	0.19993261491254088
56.145	0.09997681491222465	56145	13	image	13557	1356	01356_squash	1	8	12	0.1999096061081218
56.345	0.09996948508705827	56345	11	image	11779	1178	01178_rolling_pin	1	8	13	0.19994640880759107
56.545	0.09996504474474932	56545	12	image	1299	130	00130_blouse	1	8	14	0.1999227911910566
56.745	0.09996700000192504	56745	16	image	16284	1629	01629_wing	1	8	15	0.19994757897802629
56.945	0.09995661491484498	56945	46	image	4673	468	00468_dustpan	1	8	16	0.1999405000024126
57.144	0.09997871491577826	57144	13	image	13592	1360	01360_squirt_gun	1	8	17	0.19990703593430226
57.345	0.09995688508206513	57345	58	image	585	59	00059_bamboo	1	8	18	0.19996237898158142
57.544	0.09996910440167994	57544	11	image	11301	1131	01131_railing	1	8	19	0.19992059118885663
57.744	0.09998662982980022	57744	50	image	5088	509	00509_file1	1	8	20	0.19991992982977536
59.594	0.09998132542750682	59594	35	image	3583	359	00359_cork	1	9	1	0.0
59.794	0.09996548508570413	59794	59	image	5916	592	00592_ginger	1	9	2	0.1999532894915319
59.994	0.09998551931857946	59994	14	image	14364	1437	01437_tadpole	1	9	3	0.19993850000173552
60.193	0.09998461491341004	60193	15	image	15504	1551	01551_twig	1	9	4	0.19991110610499163
60.394	0.09996360000150162	60394	86	image	8612	862	00862_marble	1	9	5	0.19996187897777418
