onset	duration	sample	value	trial_type	tot_img_number	img_category	category_name	block	sequence	img_in_sequence	soa
7.789	0.09998119438205322	7789	12	image	12771	1278	01278_shutter	7	1	1	n/a
7.989	0.09997063398986938	7989	10	image	1061	107	00107_belt	7	1	2	0.1999560396070592
8.189	0.0999881339885178	8189	14	image	14026	1403	01403_stump	7	1	3	0.19991340758497245
8.389	0.09995628679826041	8389	70	image	7012	702	00702_horn	7	1	4	0.19996367921339697
8.589	0.09997673398902407	8589	27	image	2702	271	00271_charcoal	7	1	5	0.19991650758311152
8.789	0.09997627359553007	8789	11	image	11629	1163	01163_rim	7	1	6	0.19994050561945187
8.988	0.09997867359743395	8988	12	image	12002	1201	01201_sandcastle	7	1	7	0.19992496797567583
9.189	0.09997236039271229	9189	89	image	8933	894	00894_mitten	7	1	8	0.1999447452271852
9.388	0.09997268679944682	9388	15	image	15685	1569	01569_vest	7	1	9	0.19992605477273173
9.589	0.09996557359590952	9589	10	image	10829	1083	01083_poodle	7	1	10	0.19994923202466452
9.788	0.09996940000019094	9788	94	image	9450	945	00945_notepad	7	1	11	0.1999217547745502
9.989	0.0999692999994295	9989	67	image	675	68	00068_barbell	7	1	12	0.19994254522498522
10.188	0.09997457359531836	10188	18	image	1859	186	00186_bubble_wrap	7	1	13	0.19992745477429708
10.388	0.09995319999870844	10388	80	image	8027	803	00803_leek	7	1	14	0.19995154522621306
10.588	0.09997107359595248	10588	10	image	1023	103	00103_beet	7	1	15	0.19990636797592742
10.788	0.09996037359451293	10788	94	image	9492	950	00950_octopus	7	1	16	0.19996174522748333
10.988	0.09998024718879606	10988	50	image	5055	506	00506_ferris_wheel	7	1	17	0.19991026797652012
11.188	0.09997938679771323	11188	15	image	15963	1597	01597_water_heater	7	1	18	0.19994533202225284
11.388	0.09998356039250211	11388	53	image	5326	533	00533_flamethrower	7	1	19	0.19992054157228267
11.588	0.09996002640582446	11588	12	image	12520	1252	01252_sheep	7	1	20	0.19996373202229734
14.453	0.09998316797646112	14453	52	image	5279	528	00528_fishhook	7	2	1	0.0
14.653	0.09997487921464199	14653	11	image	11594	1160	01160_rice	7	2	2	0.1999552603938355
14.854	0.09995671320029942	14854	24	image	2454	246	00246_carousel	7	2	3	0.1999447792150022
15.053	0.09995879999951285	15053	49	image	4945	495	00495_eyeliner	7	2	4	0.19992252836891566
15.253	0.0999824528098543	15253	62	image	6250	625	00625_grill	7	2	5	0.19993061882087204
15.454	0.09996076039169566	15454	12	image	12068	1207	01207_sauce	7	2	6	0.1999490792150027
15.653	0.09996094719099347	15653	56	image	5671	568	00568_fungus	7	2	7	0.19991968117756187
15.853	0.09995549999985087	15853	54	image	5419	542	00542_floss	7	2	8	0.19995159241625515
16.053	0.09996678679817705	16053	53	image	5341	535	00535_flashbulb	7	2	9	0.19993301320209866
16.253	0.09996671320368478	16253	13	image	13795	1380	01380_stick	7	2	10	0.1999207283697615
16.453	0.099964786795681	16453	10	image	10573	1058	01058_plant	7	2	11	0.1999483848339878
16.653	0.09996167359531682	16653	88	image	8808	881	00881_megaphone	7	2	12	0.1999170547733229
16.853	0.0999679867982195	16853	81	image	8166	817	00817_lifesaver	7	2	13	0.199936758428521
17.053	0.09998006039313623	17053	15	image	15857	1586	01586_wand	7	2	14	0.19992556797660654
17.253	0.09997806039245916	17253	13	image	13665	1367	01367_staple	7	2	15	0.19994880561898754
17.452	0.09997341320377018	17452	64	image	6459	646	00646_hairdryer	7	2	16	0.19991586797550553
