onset	duration	sample	value	trial_type	tot_img_number	img_category	category_name	block	sequence	img_in_sequence	soa
26.932	0.09997871706582373	26932	11	image	11135	1114	01114_puppy	1	1	1	n/a
27.132	0.09996099999989383	27132	255	target	n/a	n/a	n/a	1	1	2	0.19995382764318492
27.332	0.09996058617798553	27332	98	image	9853	986	00986_paper_plate	1	1	3	0.19993351382254332
27.531	0.09996442764531821	27531	15	image	15614	1562	01562_van	1	1	4	0.19992144795651257
27.734	0.09996059999866702	27734	19	image	1930	193	00193_bulletproof_vest	1	1	5	0.19994295204378432
27.931	0.09996842764303437	27931	99	image	998	100	00100_bee	1	1	6	0.1999247723560984
28.131	0.09997562764328904	28131	93	image	9353	936	00936_needle	1	1	7	0.19992837560130283
28.331	0.09997560000010708	28331	26	image	2608	261	00261_centerpiece	1	1	8	0.19994142439827556
28.531	0.09996086911087332	28531	40	image	4095	410	00410_dandelion	1	1	9	0.19993404795604874
28.731	0.09997338617904461	28731	10	image	10232	1024	01024_periscope	1	1	10	0.19993789350883162
28.931	0.09998261382133933	28931	63	image	6365	637	00637_gumdrop	1	1	11	0.19991904795824667
29.131	0.09995991382311331	29131	61	image	6199	620	00620_grater	1	1	12	0.19995495204238978
29.331	0.09997098617714073	29331	65	image	6587	659	00659_hanger	1	1	13	0.19993001382317743
29.53	0.09997891382226953	29530	44	image	4456	446	00446_doorknob	1	1	14	0.1999164341341384
29.731	0.09995280000111961	29731	96	image	9690	969	00969_padlock	1	1	15	0.19995996586476394
29.93	0.09996772764498019	29930	13	image	13269	1327	01327_sombrero	1	1	16	0.19991782031320326
30.131	0.09996809999938705	30131	10	image	1083	109	00109_berry	1	1	17	0.19993997968776966
30.33	0.09996752764345729	30330	14	image	14894	1490	01490_tomato	1	1	18	0.19991893413498474
30.531	0.09996344146566116	30531	44	image	4467	447	00447_doorknocker	1	1	19	0.19995545204255905
30.73	0.09997094146638119	30730	86	image	8689	869	00869_mask	1	1	20	0.1999088479569764
33.146	0.09997357235624804	33146	14	image	14893	1490	01490_tomato	1	2	1	0.0
33.346	0.09996660000069824	33346	10	image	10357	1036	01036_pig	1	2	2	0.19994738293280534
33.546	0.09996449675418262	33546	14	image	14573	1458	01458_teepee	1	2	3	0.19992453413578914
33.746	0.09997548617684515	33746	13	image	13724	1373	01373_steak	1	2	4	0.19993179350967694
33.946	0.09997322764502314	33946	10	image	10139	1014	01014_pendulum	1	2	5	0.19993220648939314
34.146	0.09996922764548799	34146	80	image	8032	804	00804_leg	1	2	6	0.19994876586497412
34.345	0.09997199999997974	34345	13	image	13159	1316	01316_snowmobile	1	2	7	0.19991394795761153
34.546	0.09996491382116801	34546	74	image	7490	749	00749_jewel	1	2	8	0.19995613822175073
34.745	0.0999820138222276	34745	93	image	9301	931	00931_napkin	1	2	9	0.19991006177770032
34.946	0.09996540000065579	34946	12	image	12215	1222	01222_scone	1	2	10	0.19995136586476292
35.145	0.09997932764417783	35145	24	image	2480	248	00248_carrot	1	2	11	0.19991713413583057
35.346	0.09997568617836805	35346	75	image	7595	760	00760_kaleidoscope	1	2	12	0.19995156586446683
35.545	0.09996072764442943	35545	52	image	5237	524	00524_fireworks	1	2	13	0.1999231341360428
35.746	0.09997039999871049	35746	10	image	10328	1033	01033_piano	1	2	14	0.19994616586518532
