onset	duration	sample	value	trial_type	tot_img_number	img_category	category_name	block	sequence	img_in_sequence	soa
17.435	0.0999689566961024	17435	31	image	3155	316	00316_clock	7	1	1	n/a
17.635	0.09996880000107922	17635	90	image	9089	909	00909_motorcycle	7	1	2	0.19995211432978977
17.835	0.09996968567065778	17835	73	image	7301	731	00731_ink	7	1	3	0.19991808535633027
18.035	0.0999635713378666	18035	15	image	15232	1524	01524_tricycle	7	1	4	0.199947743305529
18.234	0.099978985668713	18234	56	image	5643	565	00565_frog	7	1	5	0.19992114236447378
18.435	0.09995588504352781	18435	12	image	12439	1244	01244_sewing_kit	7	1	6	0.19994535763544263
18.634	0.09996458567002264	18634	54	image	5422	543	00543_flour	7	1	7	0.19992912803354557
18.835	0.09998267134142225	18835	14	image	14834	1484	01484_toaster	7	1	8	0.19993645763497625
19.034	0.09997637133892567	19034	13	image	13582	1359	01359_squirrel	7	1	9	0.19992615669616498
19.234	0.09996437133850122	19234	10	image	10552	1056	01056_pizza	7	1	10	0.19994007133936975
19.435	0.09994979937619064	19435	84	image	8432	844	00844_machete	7	1	11	0.19995165763430123
19.634	0.0999743856718851	19634	14	image	14402	1441	01441_tambourine	7	1	12	0.1999116566948942
19.834	0.09997175700846128	19834	13	image	13132	1314	01314_snowboard	7	1	13	0.1999456006269611
20.034	0.09996705700723396	20034	62	image	6292	630	00630_guacamole	7	1	14	0.19992404236654693
20.234	0.09997214267968957	20234	22	image	2293	230	00230_canister	7	1	15	0.19994625763320073
20.434	0.09995730000082403	20434	96	image	9684	969	00969_padlock	7	1	16	0.19994317133932782
20.634	0.09997255700727692	20634	12	image	12788	1279	01279_sickle	7	1	17	0.1999159710267122
20.834	0.09997147133981343	20834	10	image	10178	1018	01018_pennant	7	1	18	0.1999403289737529
21.034	0.09998537165483867	21034	75	image	7501	751	00751_jigsaw_puzzle	7	1	19	0.19991578535518784
21.234	0.0999687286621338	21234	13	image	13201	1321	01321_sock	7	1	20	0.19995132897383883
23.866	0.09997677102364833	23866	12	image	12880	1288	01288_skewer	7	2	1	0.0
24.066	0.09997168566769687	24066	13	image	13171	1318	01318_snowsuit	7	2	2	0.19995547165126482
24.266	0.09997624267816718	24266	10	image	10140	1014	01014_pendulum	7	2	3	0.19992184236616595
24.466	0.0999700856700656	24466	71	image	7149	715	00715_hula_hoop	7	2	4	0.19994574330303294
24.666	0.09996875700926466	24666	13	image	13518	1352	01352_springboard	7	2	5	0.1999192710263742
24.866	0.09998667133913841	24866	93	image	9327	933	00933_navel	7	2	6	0.19994354330447095
25.066	0.09997037134053244	25066	39	image	3923	393	00393_crutch	7	2	7	0.1999219280332909
25.266	0.09997425700930762	25266	42	image	4257	426	00426_dish	7	2	8	0.19994408629645477
25.465	0.09998058566816326	25465	36	image	362	37	00037_arrow	7	2	9	0.19992689937498653
