onset	duration	sample	value	trial_type	tot_img_number	img_category	category_name	block	sequence	img_in_sequence	soa
210.913	0.09997405018657446	210913	11	image	11223	1123	01123_rack1	13	1	1	n/a
211.113	0.09996201245485281	211113	41	image	413	42	00042_avocado	13	1	2	0.19995483736056485
211.312	0.09996032490744255	211312	12	image	12048	1205	01205_satellite	13	1	3	0.19992687546437082
211.513	0.09997409999959928	211513	78	image	7830	783	00783_ladder	13	1	4	0.19993823699041968
211.712	0.09996152490566601	211712	20	image	2017	202	00202_butterfly	13	1	5	0.19992357546470885
211.913	0.09996601245256898	211913	11	image	11781	1179	01179_roof_rack	13	1	6	0.19994203698843194
212.112	0.09998242490655684	212112	15	image	15558	1556	01556_underwear	13	1	7	0.19991795055648254
212.313	0.0999693875455705	212313	58	image	5869	587	00587_gearshift	13	1	8	0.19994907435102505
212.512	0.09998161245493975	212512	10	image	10610	1061	01061_plate	13	1	9	0.19992055055627134
212.712	0.09995122490727226	212712	87	image	8793	880	00880_meerkat	13	1	10	0.19996154944237787
212.912	0.09996821245476895	212912	11	image	11711	1172	01172_rocking_horse	13	1	11	0.19991515055698983
213.112	0.09996402490833134	213112	96	image	9663	967	00967_pacifier	13	1	12	0.19995383698915248
213.312	0.0999837373601622	213312	42	image	4299	430	00430_diskette	13	1	13	0.19990535055876535
213.512	0.09996543736087915	213512	15	image	15949	1595	01595_water_filter	13	1	14	0.1999543494421232
213.712	0.09997411245421972	213712	14	image	14144	1415	01415_swab	13	1	15	0.1999337999986892
213.912	0.09994652490604494	213912	10	image	10758	1076	01076_police_car	13	1	16	0.1999413505600387
214.112	0.09996492490790843	214112	15	image	15318	1532	01532_trowel	13	1	17	0.19992974944034358
214.311	0.09996994981338503	214311	11	image	11555	1156	01156_revolver	13	1	18	0.19991653810575372
214.512	0.09996763736126013	214512	13	image	13009	1301	01301_slipper	13	1	19	0.19994396189395047
214.712	0.09996362490710453	214712	15	image	15237	1524	01524_tricycle	13	1	20	0.1999378124546638
218.244	0.0999750252776721	218244	42	image	4285	429	00429_dishwashing_liquid	13	2	1	0.0
218.444	0.09996281245184946	218444	41	image	4103	411	00411_dart	13	2	2	0.1999467871755769
218.643	0.09997826226572215	218643	12	image	1200	120	00120_bison	13	2	3	0.199915938103004
218.844	0.09995702564992826	218844	40	image	4015	402	00402_curb	13	2	4	0.19995046189615095
219.043	0.09998062490740267	219043	19	image	198	20	00020_amplifier	13	2	5	0.1999169256505411
219.244	0.09996233736092108	219244	94	image	943	95	00095_bear	13	2	6	0.1999519494420383
219.443	0.09998223736147338	219443	15	image	15699	1570	01570_vial	13	2	7	0.1999188505578786
219.643	0.0999692999994295	219643	25	image	2521	253	00253_catapult	13	2	8	0.19994687435064407
219.843	0.09998413735957001	219843	13	image	13237	1324	01324_sofa_bed	13	2	9	0.19992092565007624
220.043	0.0999655373616406	220043	81	image	8168	817	00817_lifesaver	13	2	10	0.19995554944034666
220.243	0.09997481245227391	220243	64	image	6492	650	00650_ham	13	2	11	0.1999134505585971
220.443	0.09996343736020208	220443	12	image	12869	1287	01287_skeleton	13	2	12	0.19995554944216565
220.643	0.09996894981486548	220643	52	image	5255	526	00526_fish	13	2	13	0.19992473810452793
220.843	0.09997441245286609	220843	15	image	15446	1545	01545_turnstile	13	2	14	0.19993778680327523
221.043	0.0999697000006563	221043	18	image	180	18	00018_amber	13	2	15	0.19993710000017018
221.242	0.09997792490685242	221242	14	image	14299	1430	01430_syrup	13	2	16	0.19991782565011817
221.443	0.09997196263975638	221443	12	image	12375	1238	01238_seaplane	13	2	17	0.19995347434996802
221.642	0.09996882490668213	221642	17	image	1761	177	00177_brick	13	2	18	0.19991552565079473
221.843	0.09996848754599341	221843	16	image	1699	170	00170_braid	13	2	19	0.1999563743484032
222.042	0.09997622490664071	222042	38	image	3814	382	00382_crayfish	13	2	20	0.19990812565083615
223.575	0.09996875018623541	223575	18	image	1861	187	00187_bucket	13	3	1	0.0
223.775	0.099974524906429	223775	15	image	15592	1560	01560_vacuum	13	3	2	0.19994547472197155
223.975	0.09997333735918801	223975	12	image	12462	1247	01247_shark	13	3	3	0.19992165055737132
224.175	0.09996337509073783	224175	69	image	6949	695	00695_honeycomb	13	3	4	0.1999613618972944
224.375	0.0999723626391642	224375	61	image	613	62	00062_bandage	13	3	5	0.19991653810211574
224.575	0.09996992453488929	224575	68	image	680	68	00068_barbell	13	3	6	0.1999362498154369
224.775	0.09997092490630166	224775	73	image	7343	735	00735_ironing_board	13	3	7	0.19992423773146584
224.975	0.09997019999900658	224975	64	image	6497	650	00650_ham	13	3	8	0.1999454743508977
